state,id,(,),{,},void,int,float,char,boolean,string,comma,;,:=,[,],if,else,while,return,charlit,strlit,&&,||,!,<,<=,=,!=,>=,>,true,false,+,-,/,*,%,intlit,floatlit,$,s',program,func-defs,func-def,ret-type,type,param-list,params,stmt-list,stmts,stmt,decl,vdecl,v-id-list,adecl,a-id-list,expr-list,assg,ifel,loop,rets,expr,bool-expr,bool-term,bool-primary,arth-expr,arth-term,arth-primary,func-call,arr-sub
0, , , , , ,s6,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , 
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , , , , ,s6,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , ,12,4,5, , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , , ,r2,r2,r2,r2,r2,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,s13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , ,r3,r3,r3,r3,r3,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, ,s14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , ,r12, , , ,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,15,16, , , , , , , , , , , , , , , , , , , , , , 
15, , ,s18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,s19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , ,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , ,r14, , , , , , , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,s33,s49, , ,r16, ,s7,s8,s9,s10,s11, , , , , ,s34, ,s35,s40,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , ,41, , ,22,23,24,25,31, ,32, , ,26,27,28,30,29,36,42,44,37,43,46,50,51
21, , , , , , ,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, ,54, , , , , , , , , , , , , , , , , , , , , , 
22, , , , ,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,s33,s49, , ,r17, ,s7,s8,s9,s10,s11, , , , , ,s34, ,s35,s40,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , ,41, , , , ,56,25,31, ,32, , ,26,27,28,30,29,36,42,44,37,43,46,50,51
24,r18,r18, , ,r18, ,r18,r18,r18,r18,r18, , , , , ,r18, ,r18,r18,r18,r18, , ,r18, , , , , , ,r18,r18, , , , , ,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , ,s57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26, , , , , , , , , , , , ,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,r22,r22, , ,r22, ,r22,r22,r22,r22,r22, , , , , ,r22, ,r22,r22,r22,r22, , ,r22, , , , , , ,r22,r22, , , , , ,r22,r22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,r23,r23, , ,r23, ,r23,r23,r23,r23,r23, , , , , ,r23, ,r23,r23,r23,r23, , ,r23, , , , , , ,r23,r23, , , , , ,r23,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , , , , , , , , , , , ,s59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30, , , , , , , , , , , , ,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31, , , , , , , , , , , , ,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, , , , , , , , , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33, ,s63,r75, , , , , , , , ,r75,r75,s61,s62,r75, , , , , , ,r75,r75, ,r75,r75,r75,r75,r75,r75, , ,r75,r75,r75,r75,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34, ,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35, ,s65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36, , ,r50, , , , , , , , ,r50,r50, , ,r50, , , , , , ,s66,s67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37, , ,r51, , , , , , , , ,r51,r51, , ,r51, , , , , , , , , ,s70,s71,s72,s73,s74,s75, , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, , ,r52, , , , , , , , ,r52,r52, , ,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, , ,r53, , , , , , , , ,r53,r53, , ,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,s77,s49, , , , , , , , , , ,r49, , , , , , , ,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , ,76,36,42,44,37,43,46,50,51
41,s80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,78, ,79, , , , , , , , , , , , , , 
42, , ,r54, , , , , , , , ,r54,r54, , ,r54, , , , , , ,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43, , ,r68, , , , , , , , ,r68,r68, , ,r68, , , , , , ,r68,r68, ,r68,r68,r68,r68,r68,r68, , ,r68,r68,s81,s82,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44, , ,r57, , , , , , , , ,r57,r57, , ,r57, , , , , , ,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, ,s85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s47,s48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,84, , , , , 
46, , ,r71, , , , , , , , ,r71,r71, , ,r71, , , , , , ,r71,r71, ,r71,r71,r71,r71,r71,r71, , ,r71,r71,r71,r71,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , ,r65, , , , , , , , ,r65,r65, , ,r65, , , , , , ,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, , ,r66, , , , , , , , ,r66,r66, , ,r66, , , , , , ,r66,r66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49,s77,s49, , , , , , , , , , , , , , , , , , , , , , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , ,86,42,44,87,43,46,50,51
50, , ,r77, , , , , , , , ,r77,r77, , ,r77, , , , , , ,r77,r77, ,r77,r77,r77,r77,r77,r77, , ,r77,r77,r77,r77,r77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, , ,r78, , , , , , , , ,r78,r78, , ,r78, , , , , , ,r78,r78, ,r78,r78,r78,r78,r78,r78, , ,r78,r78,r78,r78,r78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , ,r79, , , , , , , , ,r79,r79, , ,r79, , , , , , ,r79,r79, ,r79,r79,r79,r79,r79,r79, , ,r79,r79,r79,r79,r79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , ,r80, , , , , , , , ,r80,r80, , ,r80, , , , , , ,r80,r80, ,r80,r80,r80,r80,r80,r80, , ,r80,r80,r80,r80,r80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55, , , , , ,r4,r4,r4,r4,r4,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,r19,r19, , ,r19, ,r19,r19,r19,r19,r19, , , , , ,r19, ,r19,r19,r19,r19, , ,r19, , , , , , ,r19,r19, , , , , ,r19,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57,r20,r20, , ,r20, ,r20,r20,r20,r20,r20, , , , , ,r20, ,r20,r20,r20,r20, , ,r20, , , , , , ,r20,r20, , , , , ,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,r21,r21, , ,r21, ,r21,r21,r21,r21,r21, , , , , ,r21, ,r21,r21,r21,r21, , ,r21, , , , , , ,r21,r21, , , , , ,r21,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59,r24,r24, , ,r24, ,r24,r24,r24,r24,r24, , , , , ,r24, ,r24,r24,r24,r24, , ,r24, , , , , , ,r24,r24, , , , , ,r24,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,r25,r25, , ,r25, ,r25,r25,r25,r25,r25, , , , , ,r25, ,r25,r25,r25,r25, , ,r25, , , , , , ,r25,r25, , , , , ,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61,s77,s49, , , , , , , , , , , , , , , , , , ,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , ,88,36,42,44,37,43,46,50,51
62,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,89,43,46,50,51
63,s77,s49,s92, , , , , , , , , , , , , , , , , ,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , ,91,36,42,44,37,43,46,50,51
64,s77,s49, , , , , , , , , , , , , , , , , , , , , , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , ,93,42,44,94,43,46,50,51
65,s77,s49, , , , , , , , , , , , , , , , , , , , , , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , ,95,42,44,96,43,46,50,51
66,s77,s49, , , , , , , , , , , , , , , , , , , , , , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , ,97,44,98,43,46,50,51
67,s77,s49, , , , , , , , , , , , , , , , , , , , , , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , ,99,44,98,43,46,50,51
68,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , ,100,46,50,51
69,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , ,101,46,50,51
70,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,102,43,46,50,51
71,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,103,43,46,50,51
72,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,104,43,46,50,51
73,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,105,43,46,50,51
74,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,106,43,46,50,51
75,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , ,107,43,46,50,51
76, , , , , , , , , , , , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, ,s63,r75, , , , , , , , ,r75,r75, ,s108,r75, , , , , , ,r75,r75, ,r75,r75,r75,r75,r75,r75, , ,r75,r75,r75,r75,r75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , , , , , , , , , ,s109,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , , , , , , , , , , ,s110,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , , , , , , , , , ,r29,r29,s111,s112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113,50,51
82,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,114,50,51
83,s77,s90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115,50,51
